Feature Name,Data Type,Importance Rank,Importance Score
num__cholst pain,float64,1,0.21724989117607904
num__OLDPeak,float64,2,0.16360287031522183
num__Thalach,float64,3,0.15886154834000574
num__EXAng,float64,4,0.09457282410364858
num__age,float64,5,0.08021096549599793
num__RestBP,float64,6,0.07301441078928059
num__SLOPE,float64,7,0.06937082317551338
num__CholL,float64,8,0.06908051047912468
num__sex,float64,9,0.05491043760948802
num__RESTECG,float64,10,0.013938272825413496
num__FastBS,float64,11,0.005187445690226744
